mu,phi,sigma
0.014253818,0.725703171,0.005587691
-0.008511382,0.888673297,0.006324505
0.002509366,0.745561236,0.007269419
0.012057117,0.807199759,0.008742504
0.012772891,0.713317347,0.006623788
0.024921578,0.610512021,0.005797384
0.015319158,0.88305893,0.005148095
-0.010997255,0.930677722,0.007584075
0.009447669,0.870878995,0.009222694
0.015995444,0.382091802,0.005979676
0.01493604,0.595137607,0.00764886
0.015360423,0.254247236,0.004833432
0.005115286,0.801571493,0.007817096
0.018169212,0.266945479,0.005604272
0.017084774,0.40093201,0.006846997
0.012522498,0.394114197,0.005249044
0.001392287,0.76178521,0.009598411
0.014100165,0.213371432,0.006333036
-0.011881146,0.987046441,0.010162135
0.013037196,0.529772493,0.007051334
0.016209406,0.475879172,0.006156728
-0.008007132,0.896981119,0.00638346
0.011450341,0.439164579,0.007144702
0.015534908,0.022703949,0.005396054
0.016525488,0.203184221,0.006143629
0.026300097,0.831968702,0.005697944
0.019603073,0.788830301,0.004357534
0.016641839,0.488685234,0.006391312
0.015680337,0.450282683,0.005774147
0.014861523,0.285772445,0.007577912
0.006944288,0.936177095,0.006191959
0.012677158,0.423847016,0.008219857
0.003335275,0.902392763,0.006096361
0.015255491,0.248999697,0.006684575
0.003248286,0.912191678,0.008685408
0.01206988,0.603022218,0.006130685
0.004246936,0.79144414,0.00657032
0.001020457,0.84832332,0.009575666
0.013548846,0.421538698,0.006166853
0.006667126,0.802343459,0.008687723
0.015429428,0.192347373,0.006182339
0.015155323,0.39764503,0.006320384
0.013727205,0.847189875,0.004344994
0.014998719,0.505910485,0.008095605
0.006418641,0.950635183,0.006147903
-0.011359548,0.950609517,0.009544005
0.016004123,0.867952798,0.006207362
0.018594642,0.405814318,0.010312447
0.014042849,0.231296945,0.006616101
0.004476725,0.859557117,0.006120818
0.009107341,0.669668307,0.006210067
0.003253058,0.884315999,0.00680312
-0.002213722,0.893225471,0.008124403
0.018217898,0.244525786,0.006384012
0.021453657,0.687240425,0.005710748
0.012176971,0.09562647,0.005466644
0.01478592,0.721232424,0.005641244
-0.020745379,0.907755778,0.009017491
0.004014141,0.736729754,0.008190379
0.014689752,0.148964717,0.006132933
0.01258464,0.606083877,0.006758025
0.018018506,0.122369566,0.006997649
0.016022353,0.324189159,0.00911048
-0.000609081,0.782188113,0.007033775
0.003963637,0.728874422,0.010673778
0.013207249,0.607328863,0.005989961
0.017304239,0.314977226,0.004933676
0.006600238,0.85493762,0.007572193
0.014877659,0.367151342,0.00600224
0.004711813,0.767141886,0.00843319
0.008969215,0.480059809,0.00777466
0.003091484,0.973626379,0.008461202
0.017174078,0.202560147,0.007102871
0.02004947,0.385829742,0.004991444
0.006931004,0.707039713,0.008483035
0.018816763,0.468430277,0.009151012
-0.005556992,0.938105108,0.011378783
0.019058947,0.591522636,0.007233851
0.015535181,0.488049548,0.004760608
0.007298484,0.702259614,0.009770602
0.012446146,0.04555722,0.006662549
0.014769711,0.789794373,0.006720114
0.013813822,0.425163028,0.004728776
-0.012938188,0.811341932,0.007810821
0.018476398,0.449532218,0.004810977
0.016241416,0.111630414,0.005741173
0.018768034,0.780067737,0.006341421
0.009713043,0.158909967,0.008084197
0.014442783,0.339900048,0.005275343
0.008406694,0.863845956,0.00936276
0.017308749,0.833572938,0.007578914
0.01589063,0.499137332,0.006966806
0.009701759,0.781097851,0.007030859
0.01131385,0.211278647,0.006835358
0.010050246,0.646910625,0.007110936
0.021677988,0.48532935,0.005216306
0.004284335,0.733271767,0.008202999
0.016725039,0.626713472,0.005967664
0.019319611,0.371271684,0.006493463
0.017000246,0.51429138,0.005519034
0.015360297,0.190378002,0.004856258
0.014350698,0.389863651,0.005171204
-0.005655321,0.864576861,0.006584091
0.007675231,0.442640023,0.008997273
0.016162987,0.616446893,0.006221369
0.014976773,0.390214906,0.009212014
0.013109188,0.539632053,0.010527717
0.008518683,0.561346285,0.006102563
0.01227596,0.818759871,0.006705256
0.015848829,0.178542089,0.005404418
0.017498064,0.050630428,0.00607806
-0.018350719,0.9017175,0.006127442
0.017210198,0.373661567,0.00703165
-0.003253254,0.874990245,0.01065973
0.019061734,0.674437683,0.006166574
0.01092802,0.759035971,0.006685909
0.017107371,0.679932918,0.006292735
0.013669531,0.420141115,0.005699191
0.0147282,0.367631778,0.005122194
0.017588281,0.311868449,0.009155822
-0.022633906,0.95375736,0.007024787
0.009858486,0.376017274,0.004512813
-0.009049367,0.847634269,0.006996185
0.018157799,0.247988661,0.006294067
0.018708651,0.760261784,0.00488164
0.017819439,0.813709443,0.00695005
0.008033176,0.674210962,0.006531618
0.006189306,0.809330385,0.007391798
0.014093854,0.101051793,0.007203039
0.014516912,0.496759745,0.006088092
0.005620176,0.959112954,0.00977412
0.016556365,0.500339692,0.007130702
0.009530553,0.855415356,0.00639001
0.01234283,0.543936597,0.007415876
0.016846155,0.697883718,0.005859689
-0.011713664,0.974923699,0.007723714
0.01103427,0.368453033,0.007786779
0.013729023,0.349162657,0.008323326
0.014856871,0.395648314,0.00723838
0.002836699,0.84504689,0.004096882
0.012515197,0.440336745,0.007977909
0.014247971,0.570170919,0.005412399
0.004082599,0.919878835,0.008334279
0.017337166,0.295353513,0.007282535
0.01869975,0.711981841,0.005165511
0.018696524,0.578053946,0.00633781
0.013087338,0.835175368,0.005715874
0.00258768,0.763188163,0.007349998
0.014001319,0.929637791,0.005815505
0.010942376,0.054460912,0.007059233
-0.011242122,0.972406507,0.006298708
0.019387871,0.540510197,0.005302838
-0.019870924,0.969168792,0.007089764
0.019684912,0.728549032,0.00591457
0.013651847,0.112773516,0.005420922
0.00460063,0.765979652,0.006479718
0.018740491,0.488881338,0.007475023
0.015073671,0.835068814,0.00599707
0.012066065,0.277235849,0.008851407
0.016187561,0.496881178,0.004963459
0.013342113,0.260316288,0.005421592
-0.018191354,0.941876243,0.006403609
0.011932837,0.637855984,0.006303134
0.015220433,0.441696687,0.006026283
0.014610047,0.481389738,0.005259684
-0.004096175,0.981165109,0.007657065
0.01558206,0.660633534,0.00657429
0.008556548,0.848397895,0.008312648
0.01011676,0.623749257,0.010500908
-0.012994355,0.970144067,0.017259146
0.009518382,0.529074339,0.007851288
0.011307705,0.182916973,0.005832039
0.015616422,0.327720987,0.00766191
0.012613392,0.363806838,0.006787498
0.017215425,0.452267257,0.00644263
0.005913788,0.784359483,0.006795968
0.018231502,0.607599086,0.009210296
0.022311505,0.688168499,0.005938275
0.015610512,0.473724451,0.006908476
0.015644372,0.157045571,0.007935136
-4.59E-05,0.980973008,0.007109635
0.014591161,0.13856137,0.007785892
0.021797648,0.438266983,0.006502635
0.015341742,0.082102851,0.006009158
0.003693769,0.742332721,0.008635051
0.007736576,0.779811807,0.007005472
0.001344299,0.91807894,0.009206137
0.009126095,0.966705903,0.005641022
0.013325342,0.256287736,0.005293995
0.003665826,0.894047782,0.011837325
0.014265779,0.242790776,0.007913816
0.002805792,0.998717789,0.006120389
0.015850152,0.503684209,0.006512138
0.014373758,0.072252127,0.005298321
0.008299865,0.910985536,0.008338136
0.009815005,0.686163653,0.009391919
0.008175254,0.724537065,0.00509958
0.012266041,0.066979597,0.006474514
0.008007499,0.678429993,0.006290613
-0.023725318,0.98738166,0.012352474
0.011371172,0.423570636,0.005946953
0.015841837,0.679336379,0.006334867
0.014264401,0.334850263,0.005485268
0.010099102,0.821823043,0.007878958
0.0109841,0.794946304,0.004702714
0.012475509,0.381063468,0.005802821
0.01355585,0.528531934,0.005906022
0.013573069,0.499374841,0.005272036
0.001517329,0.861655102,0.009108632
0.018730066,0.501708227,0.006138272
0.011643947,0.527224158,0.006380095
0.011058171,0.732241449,0.006618283
0.018887617,0.247851736,0.00654461
-0.00246966,0.900982131,0.009521016
0.012128108,0.510503854,0.005803063
0.013996885,0.398691362,0.005297333
0.00360023,0.858948881,0.006484341
0.016393104,0.832808303,0.008794035
0.015144435,0.259800569,0.006820086
0.017661016,0.29677122,0.009368484
0.015782411,0.697628229,0.006371959
0.008338618,0.726422918,0.008188567
0.010650774,0.371863917,0.006706312
0.003222104,0.903374171,0.008625775
0.009987508,0.66784845,0.007188378
0.017131311,0.679717832,0.006051033
0.01339106,0.808470003,0.005595023
0.019555535,0.476653814,0.00564778
0.017183817,0.199502655,0.007400255
0.016846749,0.111786879,0.005320867
